ABBVIE INC;US00287Y1091;ABBV US EQUITY;USD;208,56;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;17;17;18,45;15,15;23,63;5,00;4,00;5,00;4,67;3,82;551,61; ;1,00;1,00;5,00;2,33;9,40;8,98;8,34;4,00;5,00;4,00;4,33;4,00;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;USD;117,88;-;-16,77%;12,9%;-;#N/A Invalid Security;-;79,11;118,35;20,2%;10,0%;SPX INDEX;-15,4%;-6,8%;126,00;6,9%;76,9%;HOLD;2,0;0;1;0;1;0;106,3;111,9;115,1;115,7;117,0;116,7;0,76;0,04;-0,07;1,95;59,0;BBB;63,34;Orange;Bonus;;Malus
ABN AMRO BANK-CV;NL0011540547;ABN NA EQUITY;EUR;8,99;NETHERLANDS;Finance;Banques;Chantal;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;96;96;-13,93;-26,99;1,00;1,00;1,00;1,56;2,00;2,00;0,43;5,00;5,00;2,25;Opportuniste;EUR;9,584;-;-23,43%;32,4%;-;#N/A Invalid Security;-;6,56;11,38;22,7%;19,5%;AEX INDEX;-7,0%;-0,2%;11,50;20,0%;33,3%;BUY;2,0;0;0;1;1;0;9,4;10,5;10,4;9,9;9,7;9,5;-0,28;-0,04;13,65;0,46;38,5;BBB;78,24;Yellow;;Bonus;
ACCENTURE PLC-A;IE00B4BNMY34;ACN US EQUITY;USD;200,98;IRELAND;Technologies de l'information;Logiciels et services;Moad;40;40;6,50;14,24;15,03;4,00;3,00;4,00;3,67;-0,68;-33,00;32,69;5,00;5,00;5,00;5,00;5,11;32,09;9,15;3,00;1,00;4,00;2,67;3,75;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;USD;316,15;-;-13,25%;13,6%;-;#N/A Invalid Security;-;210,42;317,12;42,2%;21,0%;SPX INDEX;6,5%;4,2%;324,00;2,5%;63,0%;BUY;2,0;0;0;1;1;0;265,7;285,0;292,7;306,4;312,7;312,2;6,51;-0,04;4,62;24,68;70,3;A;64,03;Orange;;Bonus;Malus
ACCOR SA;FR0000120404;AC FP EQUITY;EUR;7,82;FRANCE;Consommation discrétionnaire;Services consommateurs;Bruno;360;360;-6,09;73,60;-100,12;1,00;5,00;1,00;2,33;-0,98;31,75;-36,43;5,00;4,00;1,00;3,33;-8,53; ;2,02;1,00;1,00;4,00;2,00;2,50;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Opportuniste;EUR;29,9;-;-21,14%;27,9%;-;#N/A Invalid Security;-;20,71;35,89;31,4%;1,0%;CAC INDEX;0,9%;-17,3%;35,50;18,7%;36,4%;BUY;1,0;0;0;0;1;0;30,9;32,9;32,4;30,8;30,0;29,6;-0,92;-0,08;-122,10;0,27;39,1;A;66,2;Green;;Bonus;Bonus
ACKERMANS & VAN;BE0003764785;ACKB BB EQUITY;EUR;4,80;BELGIUM;Finance;Services financiers diversifi;Chantal;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;108;108;-0,37;15,59;2,00;1,00;1,50;6,55;3,00;3,00;1,22;2,00;2,00;2,00;Opportuniste;EUR;143,4;-;-16,55%;21,7%;-;#N/A Invalid Security;-;103,90;147,10;25,3%;16,6%;BEL20 INDEX;4,1%;-0,4%;150,00;4,6%;66,7%;HOLD;2,0;0;0;1;1;0;129,3;136,2;138,2;142,9;142,4;141,7;1,03;-0,47;10,11;6,70;55,7;BBB;NR;Green;;;
ACS;ES0167050915;ACS SM EQUITY;EUR;6,87;SPAIN;Industrie;Biens d'investissement;Yann;331;331;0,35;-2,35;3,08;3,00;1,00;2,00;2,00;2,35;93,48;14,51;2,00;2,00;3,00;2,33;4,18;9,19;1,30;3,00;5,00;5,00;4,33;2,67;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Opportuniste;EUR;22,12;-;-23,66%;31,2%;-;#N/A Invalid Security;-;18,21;29,48;-4,9%;-18,5%;IBEX INDEX;-23,2%;-26,7%;31,40;42,0%;70,6%;NOT RATED;1,0;0;0;1;0;0;25,7;25,7;24,0;22,2;21,7;21,4;-0,77;0,04;0,24;-1,01;40,8;A;62,94;Orange;Bonus;;Malus
ADECCO GROUP AG;CH0012138605;ADEN SW EQUITY;CHF;10,36;SWITZERLAND;Industrie;Services commerciaux et profes;Yann;296;296;-5,82;13,75;2,72;1,00;3,00;2,00;2,00;0,87;18,61;10,72;4,00;4,00;3,00;3,67;6,70;13,25;2,81;4,00;4,00;3,00;3,67;2,83;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;CHF;63,48;-;-15,06%;25,1%;-;#N/A Invalid Security;-;42,93;67,04;35,5%;7,3%;SMI INDEX;18,7%;-6,1%;68,50;7,9%;47,4%;NOT RATED;2,0;0;0;1;1;0;58,9;62,7;62,3;62,5;61,8;60,9;-0,44;-0,21;6,54;3,66;47,5;AA;NR;Green;;;Bonus
ADIDAS AG;DE000A1EWWW0;ADS GR EQUITY;EUR;63,47;GERMANY;Consommation discrétionnaire;Biens de consommation durables;Bruno;267;267;-1,63;12,43;6,83;2,00;3,00;3,00;2,67;0,42;15,24;13,76;4,00;4,00;3,00;3,67;3,79;33,68;7,51;3,00;1,00;4,00;2,67;2,92;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;317,2;-;-14,32%;25,6%;-;#N/A Invalid Security;-;231,20;324,10;31,2%;6,5%;DAX INDEX;11,7%;-7,7%;330,00;4,0%;54,1%;BUY;2,0;0;0;1;1;0;285,4;288,9;302,5;313,8;313,8;308,4;2,93;-1,66;3,15;20,15;54,0;AAA;NR;Yellow;;Bonus;Bonus
ADLER REAL EST;DE0005008007;ADL GR EQUITY;EUR;1,26;GERMANY;Immobilier;Immobilier;Jeremy;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;77;77;67,14;-74,14;5,00;1,00;3,00;-18,47;1,00;1,00;0,71;3,00;3,00;2,50;Opportuniste;EUR;11,62;-;-19,18%;20,7%;-;#N/A Invalid Security;-;10,76;14,30;-10,1%;-10,3%;DAX INDEX;-29,6%;-24,5%;12,00;3,3%;0,0%;NOT RATED;0,0;0;0;0;0;0;12,5;12,3;12,3;11,8;11,7;11,6;-0,21;-0,01;-18,13;-2,55;42,4;BB;NR;Green;;;
ADP;FR0010340141;ADP FP EQUITY;EUR;10,46;FRANCE;Industrie;Transport;Thomas;414;414;-8,82;52,00;-54,00;1,00;5,00;1,00;2,33;-117,40;172,77;-26,92;5,00;1,00;1,00;2,33;-6,13; ;3,07;1,00;1,00;3,00;1,67;2,17;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;105,85;-;-19,71%;31,7%;-;#N/A Invalid Security;-;76,80;128,15;16,6%;-0,2%;CAC INDEX;-13,9%;-18,5%;100,00;-5,5%;13,6%;NOT RATED;0,0;0;0;0;0;0;104,7;109,9;114,0;110,0;106,6;104,7;-3,32;-0,75;-133,53;-4,90;34,7;A;NR;Green;;;Bonus
AEDIFICA;BE0003851681;AED BB EQUITY;EUR;4,32;BELGIUM;Immobilier;Immobilier;Jeremy;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;96;96;33,56;25,26;5,00;1,00;3,00;5,77;3,00;3,00;1,57;0,00;0,00;2,25;Opportuniste;EUR;120;-;-16,19%;16,2%;-;#N/A Invalid Security;-;83,70;120,80;24,8%;22,1%;BEL20 INDEX;3,5%;5,1%;118,00;-1,7%;80,0%;NOT RATED;2,0;0;0;1;1;0;101,1;105,6;111,0;116,2;118,6;118,7;2,38;-0,04;5,68;7,64;64,7;BBB;NR;Green;Bonus;;
AEGON NV;NL0000303709;AGN NA EQUITY;EUR;7,52;NETHERLANDS;Finance;Assurance;Chantal;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;37;37;74,27;-36,72;5,00;1,00;3,00;-0,67;1,00;1,00;0,30;5,00;5,00;3,00;Opportuniste;EUR;3,566;-;-31,03%;32,1%;-;#N/A Invalid Security;-;1,99;4,31;31,7%;10,2%;AEX INDEX;2,0%;-9,5%;4,00;12,2%;30,0%;HOLD;2,0;0;0;1;1;0;3,5;3,8;3,7;3,5;3,5;3,5;-0,05;0,01;3,50;0,22;47,0;AA;75,84;Yellow;;;Bonus
AENA SME SA;ES0105046009;AENA SM EQUITY;EUR;20,29;SPAIN;Industrie;Transport;Thomas;427;427;-12,57;72,48;-25,88;1,00;5,00;1,00;2,33;21,52;126,79;-6,42;1,00;1,00;1,00;1,00;-4,24;44,08;2,98;1,00;1,00;3,00;1,67;1,83;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;135,45;-;-14,50%;27,7%;-;#N/A Invalid Security;-;108,50;151,05;15,2%;-4,7%;IBEX INDEX;-3,1%;-12,9%;143,50;5,9%;31,3%;HOLD;1,0;0;0;0;1;0;137,8;140,8;140,7;137,2;133,5;131,3;-2,97;-0,66;-15,25;3,88;39,9;A;48,06;Green;;;Bonus
AGEAS;BE0974264930;AGS BB EQUITY;EUR;8,60;BELGIUM;Finance;Assurance;Chantal;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;20;20;0,69;3,81;2,00;4,00;3,00;8,76;3,00;3,00;0,67;4,00;4,00;3,25;Opportuniste;EUR;45,05;-;-16,02%;26,4%;-;#N/A Invalid Security;-;31,45;53,96;32,9%;3,4%;BEL20 INDEX;11,6%;-13,6%;52,75;17,1%;50,0%;BUY;2,0;0;0;1;1;0;45,9;49,8;48,9;46,2;45,4;44,0;-1,31;-0,19;3,78;3,48;33,7;BBB;52,5;Green;;Bonus;
AIB GROUP PLC;IE00BF0L3536;AIBG ID EQUITY;EUR;5,40;IRELAND;Finance;Banques;Chantal;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;108;108;-5,82;-14,52;1,00;NR;1,00;-6,00;1,00;1,00;0,41;5,00;5,00;2,00;Opportuniste;EUR;1,988;-;-33,72%;47,1%;-;#N/A Invalid Security;-;0,85;2,80;62,8%;18,3%;ISEQ INDEX;31,2%;6,4%;2,65;33,3%;62,5%;HOLD;2,0;0;0;1;1;0;1,9;2,3;2,4;2,1;2,0;1,9;-0,13;-0,01;8,86;0,27;32,9;AA;NR;Green;;;Bonus
AIR FRANCE-KLM;FR0000031122;AF FP EQUITY;EUR;2,54;FRANCE;Industrie;Transport;Thomas;255;255;-18,05;108,61;-76,84;1,00;5,00;1,00;2,33;-3,63;-205,19; ;5,00;5,00;5,00;5,00;-275,19; ; ;1,00;1,00;4,00;2,00;2,92;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Opportuniste;EUR;3,975;-;-33,16%;26,1%;-;#N/A Invalid Security;-;2,61;5,96;-1,0%;-22,4%;CAC INDEX;-31,6%;-40,7%;3,60;-9,4%;4,3%;SELL;0,0;0;0;0;0;0;4,6;4,7;4,4;4,0;3,9;3,9;-0,15;0,00;-0,89;-0,02;39,5;BB;53,69;Yellow;;;
AIR LIQUIDE SA;FR0000120073;AI FP EQUITY;EUR;71,36;FRANCE;Matériaux;Matériaux;Jeremy;303;303;0,34;8,89;17,82;3,00;2,00;4,00;3,00;2,05;62,53;13,02;3,00;2,00;3,00;2,67;3,62;25,45;3,37;2,00;2,00;3,00;2,33;2,75;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;150,52;-;-12,64%;18,1%;-;#N/A Invalid Security;-;123,60;151,12;7,1%;12,1%;CAC INDEX;-23,5%;-6,2%;159,00;5,6%;61,3%;BUY;2,0;0;0;1;1;0;137,9;141,5;144,7;148,5;148,9;148,4;1,00;-0,23;0,75;1,88;56,4;A;73,4;Yellow;;Bonus;Bonus
AIR PRODS & CHEM;US0091581068;APD US EQUITY;USD;63,66;UNITED STATES;Matériaux;Matériaux;Jeremy;94;94;2,75;15,10;23,61;3,00;4,00;5,00;4,00;0,52;13,77;15,67;4,00;4,00;4,00;4,00;1,30;27,32;4,50;1,00;2,00;2,00;1,67;3,42;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;USD;287,1;-;-18,64%;15,8%;-;#N/A Invalid Security;-;245,75;327,89;-2,1%;5,1%;SPX INDEX;-37,8%;-11,8%;328,50;14,4%;53,6%;BUY;2,0;0;0;1;1;0;282,6;288,2;294,8;288,2;287,7;285,8;-2,19;0,06;2,72;18,55;47,3;BBB;67,77;Green;;Bonus;
AIRBUS SE;NL0000235190;AIR FP EQUITY;EUR;87,70;NETHERLANDS;Industrie;Biens d'investissement;Yann;358;358;-3,54;12,20;-0,38;2,00;3,00;1,00;2,00;-0,69;-23,63;-5,49;5,00;5,00;1,00;3,67;2,01;29,37;8,34;2,00;2,00;4,00;2,67;2,58;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;111,9;-;-21,70%;33,1%;-;#N/A Invalid Security;-;57,87;116,04;71,4%;24,6%;CAC INDEX;40,9%;6,3%;126,00;12,6%;76,7%;HOLD;2,0;0;0;1;1;0;94,7;103,5;108,1;109,8;109,8;108,1;-0,06;-0,44;14,06;16,96;50,2;BB;61,42;Orange;Bonus;;Malus
AKER BP ASA;NO0010345853;AKRBP NO EQUITY;NOK;87,80;NORWAY;Energie;Energie;Louis;17;17;8,20;31,27;45,77;4,00;5,00;5,00;4,67;1,01;138,82;24,89;4,00;1,00;4,00;3,00;15,42;12,52;4,03;5,00;4,00;2,00;3,67;4,00;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;NOK;244;-;-23,05%;32,2%;-;#N/A Invalid Security;-;140,10;287,00;32,6%;12,9%;OBX INDEX;-1,0%;-3,3%;290,00;18,9%;59,3%;SELL;2,0;0;0;1;1;0;224,5;252,0;261,7;264,2;252,7;243,8;-6,35;-3,45;10,88;24,60;37,2;A;50,57;Green;;;Bonus
AKKA TECHNOLOGIE;FR0004180537;AKA FP EQUITY;EUR;0,72;BELGIUM;Industrie;Services commerciaux et profes;Yann;303;303;5,31;7,29;-11,34;4,00;2,00;1,00;2,33;-2,87;66,17;-54,54;5,00;2,00;1,00;2,67;21,78;23,07;1,38;5,00;2,00;4,00;3,67;2,75;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Opportuniste;EUR;22,98;-;-39,48%;37,0%;-;#N/A Invalid Security;-;14,54;29,60;-6,2%;-10,8%;CAC INDEX;-36,7%;-29,1%;24,50;6,6%;33,3%;NOT RATED;2,0;0;0;1;1;0;23,7;23,8;23,3;22,8;22,0;21,7;-0,58;-0,07;13,52;1,18;46,3;BBB;NR;Green;;;
AKZO NOBEL;NL0013267909;AKZA NA EQUITY;EUR;19,31;NETHERLANDS;Matériaux;Matériaux;Jeremy;223;223;-3,84;10,75;12,35;2,00;3,00;3,00;2,67;0,98;23,07;11,86;4,00;4,00;3,00;3,67;5,94;19,92;3,52;3,00;3,00;3,00;3,00;3,00;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;102,95;-;-9,26%;19,2%;-;#N/A Invalid Security;-;79,22;108,45;23,9%;17,2%;AEX INDEX;-5,8%;-2,6%;113,50;10,2%;62,5%;BUY;2,0;0;0;1;1;0;94,2;101,0;105,1;104,8;105,1;103,4;-0,53;-0,53;2,08;6,52;39,4;AAA;84,9;Green;;Bonus;Bonus
ALD SA;FR0013258662;ALD FP EQUITY;EUR;4,95;FRANCE;Industrie;Transport;Thomas;273;273;6,35;-15,30;6,17;4,00;1,00;2,00;2,33;3,83;410,79;12,50;1,00;1,00;3,00;1,67;14,87;8,44;1,05;5,00;5,00;5,00;5,00;2,83;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Opportuniste;EUR;12,24;-;-17,79%;32,6%;-;#N/A Invalid Security;-;7,74;13,94;36,0%;6,4%;CAC INDEX;5,5%;-11,9%;15,50;26,6%;87,5%;NOT RATED;2,0;0;0;1;1;0;12,0;12,8;12,7;12,5;12,4;12,2;-0,12;-0,03;10,09;1,40;45,3;A;NR;Green;Bonus;;Bonus
ALLIANZ SE-REG;DE0008404005;ALV GR EQUITY;EUR;86,62;GERMANY;Finance;Assurance;Chantal;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;96;96;1,70;24,22;2,00;1,00;1,50;10,79;4,00;4,00;1,00;2,00;2,00;2,25;Core;EUR;210;-;-19,15%;18,0%;-;#N/A Invalid Security;-;148,02;223,50;12,7%;4,6%;DAX INDEX;-6,8%;-9,5%;240,00;14,3%;70,0%;BUY;2,0;0;0;1;1;0;202,1;214,9;214,3;210,6;208,8;206,1;-2,32;-0,31;3,10;7,80;44,9;AAA;78,87;Yellow;Bonus;Bonus;Bonus
ALMIRALL SA;ES0157097017;ALM SM EQUITY;EUR;2,69;SPAIN;Soins de santé;Sciences pharmaceutiques, biot;Thomas;94;94;8,59;10,18;8,39;5,00;3,00;3,00;3,67;2,21;30,70;4,14;2,00;4,00;2,00;2,67; ;27,40;1,93;5,00;2,00;4,00;3,67;3,42;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Opportuniste;EUR;14,95;-;-14,12%;20,2%;-;#N/A Invalid Security;-;8,84;15,35;44,9%;36,9%;IBEX INDEX;26,6%;28,7%;15,75;5,4%;71,4%;NOT RATED;3,0;0;1;1;1;0;12,2;13,6;14,5;14,8;14,7;14,8;0,08;0,00;7,83;0,98;56,5;A;NR;Green;Bonus;;Bonus
ALPHABET INC-A;US02079K3059;GOOGL US EQUITY;USD;1790,71;UNITED STATES;Services de communication;Médias et divertissement;Cédric;44;44;18,16;8,97;25,26;5,00;2,00;5,00;4,00;-1,67;-46,93;23,69;5,00;5,00;4,00;4,67;3,63;24,28;6,09;2,00;2,00;2,00;2,00;3,67;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;USD;2625,5;-;-17,93%;15,6%;-;#N/A Invalid Security;-;1402,15;2625,97;73,1%;49,8%;SPX INDEX;37,4%;33,0%;2800,00;6,6%;95,6%;BUY;2,0;0;0;1;1;0;2043,5;2300,8;2422,0;2506,1;2537,6;2534,9;35,94;-1,00;0,39;347,82;65,2;BBB;50,52;Yellow;Bonus;Bonus;
ALROSA;RU0007252813;ALRS RM EQUITY;RUB;952,73;RUSSIA;Matériaux;Matériaux;Jeremy;30;30;-6,24;20,96;31,41;1,00;4,00;5,00;3,33;-0,21;-7,52;19,38;5,00;5,00;4,00;4,67;14,25;9,98;3,84;5,00;5,00;2,00;4,00;3,83;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;RUB;129,58;-;-10,20%;37,6%;-;#N/A Invalid Security;-;63,19;141,73;102,4%;31,8%;IMOEX INDEX;71,4%;18,2%;139,60;7,7%;41,2%;BUY;2,0;0;0;1;1;0;104,5;117,1;126,4;129,9;131,4;128,9;0,67;-0,47;8,59;17,03;52,6;BB;51,04;Yellow;;Bonus;
ALSTOM;FR0010220475;ALO FP EQUITY;EUR;13,79;FRANCE;Industrie;Biens d'investissement;Yann;177;177;6,20;80,44;3,41;4,00;5,00;2,00;3,67;2,34;17,73;4,01;2,00;4,00;2,00;2,67;-6,13;18,10;1,39;1,00;3,00;4,00;2,67;3,17;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;37,08;-;-27,79%;38,0%;-;#N/A Invalid Security;-;33,91;49,70;-20,1%;-20,4%;CAC INDEX;-50,7%;-38,7%;47,00;26,8%;75,0%;BUY;0,0;0;0;0;0;0;43,1;43,2;42,5;39,0;36,3;36,0;-2,10;-0,09;-6,73;-5,01;30,4;AA;81,53;Yellow;Bonus;Bonus;Bonus
ALSTRIA OFFICE;DE000A0LD2U1;AOX GR EQUITY;EUR;3,14;GERMANY;Immobilier;Immobilier;Jeremy;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;;;;NR;NR;NR;NR;NR;56;56;-3,72;1,98;1,00;4,00;2,50;5,14;3,00;3,00;0,91;3,00;3,00;2,75;Opportuniste;EUR;17,63;-;-16,91%;25,7%;-;#N/A Invalid Security;-;10,48;18,84;41,6%;19,1%;DAX INDEX;22,1%;5,0%;15,00;-14,9%;47,1%;SELL;3,0;0;1;1;1;0;14,2;14,9;15,6;16,4;17,0;17,2;0,50;0,08;1,71;0,07;67,4;A;NR;Green;;;Bonus
AMADEUS IT GROUP;ES0109067019;AMS SM EQUITY;EUR;25,54;SPAIN;Technologies de l'information;Logiciels et services;Moad;410;410;-13,89;135,55;-58,37;1,00;5,00;1,00;2,33;-24,96;109,66;-20,51;5,00;2,00;1,00;2,67;-4,65;52,86;5,93;1,00;1,00;2,00;1,33;2,17;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;EUR;56,72;-;-21,19%;28,4%;-;#N/A Invalid Security;-;39,07;66,76;22,4%;-4,8%;IBEX INDEX;4,1%;-13,0%;58,50;3,1%;32,3%;NOT RATED;1,0;0;0;0;1;0;57,6;59,9;60,4;57,6;55,4;54,7;-1,82;-0,16;-0,85;2,61;42,1;AA;NR;Yellow;;;Bonus
AMAZON.COM INC;US0231351067;AMZN US EQUITY;USD;1842,63;UNITED STATES;Consommation discrétionnaire;Vente au détail;Bruno;69;69;29,67;28,88;6,63;5,00;5,00;2,00;4,00;0,45;26,64;31,91;4,00;4,00;5,00;4,33;1,41;45,25;10,90;1,00;1,00;4,00;2,00;3,58;NR;NR;;;NR;NR;NR;;NR;NR;;NR;NR;NR;Core;USD;3649,72;-;-16,41%;21,5%;-;#N/A Invalid Security;-;2871,00;3773,08;22,2%;12,2%;SPX INDEX;-13,4%;-4,6%;4200,00;15,1%;98,2%;BUY;2,0;0;0;1;1;0;3259,5;3312,3;3408,6;3578,9;3634,8;3583,9;55,89;-14,21;1,56;222,18;60,7;BBB;NR;Orange;Bonus;Bonus;Malus
