Ticker ;ISIN;Valeurs;Catégorie;Pays;Secteur;Industrie;Responsable;Devise;Cours actuel;Capitalisation (EUR Mds.);YTD absolu (LC);Target consensus;Potentiel Consensus;Date d'entrée;Performance réalisée depuis l'entrée;Score fondamental;Score technique;Total;Consensus analystes;Achat SG;ESG;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME;SL CORE;SL SATELLITE
PHIA NA EQUITY;NL0000009538;KONINKLIJKE PHIL;Core;NETHERLANDS;Soins de santé;Equipement et services de sant;Thomas;EUR;38,05;34,92;-13,1%;49,00;28,8%;15/06/2021;-14,66%;3,00;1,00;2,50;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;OUI
MUV2 GR EQUITY;DE0008430026;MUENCHENER RUE-R;Core;GERMANY;Finance;Assurance;Chantal;EUR;236,20;33,09;-2,7%;275,00;16,4%;-;-;3,00;1,00;2,50;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
NEX FP EQUITY;FR0000044448;NEXANS SA;Opportuniste;FRANCE;Industrie;Biens d'investissement;Yann;EUR;82,25;3,60;38,8%;88,50;7,6%;-;-;2,67;2,00;2,50;;;;NON;NON;NON;OUI;NON;NON;NON;NON
NOEJ GR EQUITY;DE000A1H8BV3;NORMA GROUP SE;Opportuniste;GERMANY;Industrie;Biens d'investissement;Yann;EUR;43,80;1,40;4,6%;48,00;9,6%;-;-;2,67;2,00;2,50;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
ORA FP EQUITY;FR0000133308;ORANGE;Core;FRANCE;Services de communication;Services de télécommunicatio;Cédric;EUR;9,54;25,37;0,0%;12,50;31,1%;-;-;3,33;0,00;2,50;;Bonus;Malus;NON;NON;OUI;OUI;OUI;NON;NON;NON
REE SM EQUITY;ES0173093024;RED ELECTRICA;Opportuniste;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;EUR;17,09;9,24;1,8%;16,00;-6,4%;-;-;3,00;1,00;2,50;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
SCYR SM EQUITY;ES0182870214;SACYR SA;Opportuniste;SPAIN;Industrie;Biens d'investissement;Yann;EUR;2,06;1,30;2,1%;3,08;49,1%;-;-;3,00;1,00;2,50;Bonus;Bonus;;NON;NON;NON;NON;NON;NON;NON;NON
SHA GR EQUITY;DE000SHA0159;SCHAEFFLER-PREF;Opportuniste;GERMANY;Consommation discrétionnaire;Automobiles et composants auto;Yann;EUR;7,49;4,98;9,5%;9,00;20,2%;-;-;2,67;2,00;2,50;;;;NON;NON;NON;NON;NON;NON;NON;NON
LIGHT NA EQUITY;NL0011821392;SIGNIFY NV;Opportuniste;NETHERLANDS;Industrie;Biens d'investissement;Yann;EUR;47,22;6,06;40,6%;55,00;16,5%;-;-;3,00;1,00;2,50;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
SIX2 GR EQUITY;DE0007231326;SIXT SE;Opportuniste;GERMANY;Industrie;Transport;Thomas;EUR;114,50;4,61;16,6%;140,00;22,3%;-;-;2,33;3,00;2,50;Bonus;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
UN01 GR EQUITY;DE000UNSE018;UNIPER SE;Core;GERMANY;Services aux collectivités;Services aux collectivités;Sophie;EUR;33,43;12,24;18,4%;30,15;-9,8%;-;-;2,33;3,00;2,50;;;;NON;NON;OUI;NON;NON;NON;NON;NON
TRE SM EQUITY;ES0178165017;TECNICAS REUNIDA;Opportuniste;SPAIN;Energie;Energie;Louis;EUR;7,04;0,39;-34,9%;12,31;74,9%;-;-;3,00;1,00;2,50;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
SOLB BB EQUITY;BE0003470755;SOLVAY SA-A;Core;BELGIUM;Matériaux;Matériaux;Jeremy;EUR;114,95;12,17;18,7%;123,00;7,0%;-;-;2,33;3,00;2,50;;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
KBX GR EQUITY;DE000KBX1006;KNORR-BREMSE AG;Core;GERMANY;Industrie;Biens d'investissement;Yann;EUR;96,80;15,61;-13,3%;110,00;13,6%;-;-;3,33;0,00;2,50;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
NEE US EQUITY;US65339F1012;NEXTERA ENERGY;Core;UNITED STATES;Services aux collectivités;Services aux collectivités;Sophie;USD;80,61;158,14;4,5%;88,00;9,2%;-;-;3,00;1,00;2,50;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
UBER US EQUITY;US90353T1007;UBER TECHNOLOGIE;Opportuniste;UNITED STATES;Industrie;Transport;Thomas;USD;44,28;83,44;-13,2%;70,00;58,1%;-;-;3,00;1,00;2,50;Bonus;;Malus;NON;NON;NON;NON;NON;NON;NON;NON
ABN NA EQUITY;NL0011540547;ABN AMRO BANK-CV;Opportuniste;NETHERLANDS;Finance;Banques;Chantal;EUR;10,46;9,83;30,4%;11,40;9,0%;-;-;2,25;3,00;2,44;;Bonus;;NON;NON;OUI;NON;NON;NON;NON;NON
AF FP EQUITY;FR0000031122;AIR FRANCE-KLM;Opportuniste;FRANCE;Industrie;Transport;Thomas;EUR;4,08;2,62;-20,3%;3,60;-11,8%;-;-;2,92;1,00;2,44;;;;NON;NON;NON;OUI;NON;NON;NON;NON
BAS GR EQUITY;DE000BASF111;BASF SE;Core;GERMANY;Matériaux;Matériaux;Jeremy;EUR;67,24;61,76;3,9%;79,00;17,5%;-;-;2,58;2,00;2,44;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
CA FP EQUITY;FR0000120172;CARREFOUR SA;Core;FRANCE;Consommation de base;Vente au détail de produits a;Sophie;EUR;16,39;13,39;16,8%;19,30;17,8%;-;-;2,58;2,00;2,44;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;NON
COP US EQUITY;US20825C1045;CONOCOPHILLIPS;Opportuniste;UNITED STATES;Energie;Energie;Louis;USD;56,50;75,66;41,3%;74,00;31,0%;-;-;2,58;2,00;2,44;Bonus;Bonus;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
IGD IM EQUITY;IT0005322612;IMMOBILIARE GRAN;Opportuniste;ITALY;Immobilier;Immobilier;Jeremy;EUR;4,09;0,45;13,5%;4,50;10,2%;-;-;3,25;0,00;2,44;;;;NON;NON;NON;NON;NON;NON;NON;NON
INGA NA EQUITY;NL0011821202;ING GROEP NV;Core;NETHERLANDS;Finance;Banques;Chantal;EUR;11,52;44,97;50,8%;12,93;12,2%;-;-;2,25;3,00;2,44;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
LNA FP EQUITY;FR0004170017;LNA SANTE;Opportuniste;FRANCE;Soins de santé;Equipement et services de sant;Thomas;EUR;51,80;0,50;5,2%;56,00;8,1%;-;-;2,92;1,00;2,44;;;;NON;NON;NON;NON;NON;NON;NON;NON
MRK US EQUITY;US58933Y1055;MERCK & CO;Core;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;USD;75,44;191,02;-3,3%;92,00;22,0%;-;-;2,92;1,00;2,44;Bonus;Bonus;Malus;OUI;OUI;NON;NON;NON;NON;NON;NON
PGHN SW EQUITY;CH0024608827;PARTNERS GROUP J;Core;SWITZERLAND;Finance;Services financiers diversifi;Chantal;CHF;1605,50;42,87;54,4%;1523,00;-5,1%;-;-;2,25;3,00;2,44;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
PKO PW EQUITY;PLPKO0000016;PKOBP;Core;POLAND;Finance;Banques;Chantal;PLN;39,52;49,29;37,6%;42,83;8,4%;-;-;2,25;3,00;2,44;;Bonus;;NON;NON;OUI;NON;NON;NON;NON;NON
SBRY LN EQUITY;GB00B019KW72;SAINSBURY PLC;Core;BRITAIN;Consommation de base;Vente au détail de produits a;Sophie;GBp;291,20;678,97;29,1%;267,50;-8,1%;-;-;2,25;3,00;2,44;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
TEF SM EQUITY;ES0178430E18;TELEFONICA;Core;SPAIN;Services de communication;Services de télécommunicatio;Cédric;EUR;4,09;23,07;26,1%;4,50;10,0%;-;-;2,58;2,00;2,44;;;;NON;NON;OUI;NON;NON;NON;NON;NON
TUI1 GR EQUITY;DE000TUAG000;TUI AG-DI;Opportuniste;GERMANY;Consommation discrétionnaire;Services consommateurs;Bruno;EUR;3,86;4,25;18,4%;2,60;-32,6%;-;-;2,92;1,00;2,44;;;;NON;NON;OUI;NON;NON;NON;NON;NON
UMI BB EQUITY;BE0974320526;UMICORE;Core;BELGIUM;Matériaux;Matériaux;Jeremy;EUR;56,58;13,94;44,0%;53,50;-5,4%;-;-;2,25;3,00;2,44;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
FIS US EQUITY;US31620M1062;FIDELITY NATIONA;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;133,82;82,66;-5,4%;170,00;27,0%;-;-;2,92;1,00;2,44;Bonus;;;NON;OUI;NON;NON;NON;NON;NON;NON
LSEG LN EQUITY;GB00B0SWJX34;LONDON STOCK EX;Opportuniste;BRITAIN;Finance;Services financiers diversifi;Chantal;GBp;7806,00;4351,73;-13,3%;8845,00;13,3%;-;-;2,25;3,00;2,44;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ALO FP EQUITY;FR0010220475;ALSTOM;Core;FRANCE;Industrie;Biens d'investissement;Yann;EUR;35,24;13,11;-24,4%;47,00;33,4%;13/04/2021;-20,64%;3,17;0,00;2,38;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;OUI;NON;OUI;NON
CNP FP EQUITY;FR0000120222;CNP ASSURANCES;Core;FRANCE;Finance;Assurance;Chantal;EUR;14,63;10,04;16,7%;17,00;16,2%;-;-;2,50;2,00;2,38;Bonus;;Bonus;NON;NON;NON;OUI;NON;NON;NON;NON
CSGN SW EQUITY;CH0012138530;CREDIT SUISS-REG;Opportuniste;SWITZERLAND;Finance;Services financiers diversifi;Chantal;CHF;9,62;25,49;-15,2%;10,50;9,2%;-;-;2,50;2,00;2,38;;;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
ERG IM EQUITY;IT0001157020;ERG SPA;Opportuniste;ITALY;Services aux collectivités;Services aux collectivités;Sophie;EUR;24,30;3,66;3,8%;29,00;19,3%;-;-;2,83;1,00;2,38;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
GBLB BB EQUITY;BE0003797140;GROUPE BRUX LAMB;Core;BELGIUM;Finance;Services financiers diversifi;Chantal;EUR;99,02;15,98;20,0%;112,60;13,7%;-;-;2,50;2,00;2,38;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
IBE SM EQUITY;ES0144580Y14;IBERDROLA SA;Core;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;EUR;10,21;65,00;-12,7%;12,00;17,5%;-;-;2,83;1,00;2,38;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
NK FP EQUITY;FR0000120859;IMERYS SA;Opportuniste;FRANCE;Matériaux;Matériaux;Jeremy;EUR;39,38;3,34;1,9%;43,00;9,2%;-;-;2,83;1,00;2,38;;;Bonus;NON;NON;NON;OUI;NON;NON;NON;NON
FII FP EQUITY;FR0000050353;LISI;Opportuniste;FRANCE;Industrie;Biens d'investissement;Yann;EUR;29,45;1,59;46,2%;31,00;5,3%;-;-;2,17;3,00;2,38;;;;NON;NON;NON;NON;NON;NON;NON;NON
B4B GR EQUITY;DE000BFB0019;METRO AG;Opportuniste;GERMANY;Consommation de base;Vente au détail de produits a;Sophie;EUR;11,09;4,03;20,5%;10,00;-9,8%;-;-;2,17;3,00;2,38;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
NG/ LN EQUITY;GB00BDR05C01;NATIONAL GRID PL;Core;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;GBp;942,90;3351,45;9,0%;1050,00;11,4%;-;-;2,50;2,00;2,38;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
NESTE FH EQUITY;FI0009013296;NESTE OYJ;Core;FINLAND;Energie;Energie;Louis;EUR;51,00;39,23;-13,8%;56,00;9,8%;-;-;2,83;1,00;2,38;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
NHH SM EQUITY;ES0161560018;NH HOTEL GROUP S;Opportuniste;SPAIN;Consommation discrétionnaire;Services consommateurs;Bruno;EUR;3,75;1,47;9,0%;4,28;14,0%;-;-;2,50;2,00;2,38;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
PSON LN EQUITY;GB0006776081;PEARSON PLC;Core;BRITAIN;Services de communication;Médias et divertissement;Cédric;GBp;798,60;604,21;17,4%;821,00;2,8%;-;-;2,50;2,00;2,38;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
PPG US EQUITY;US6935061076;PPG INDS INC;Core;UNITED STATES;Matériaux;Matériaux;Jeremy;USD;164,23;38,98;13,9%;185,00;12,6%;-;-;2,83;1,00;2,38;Bonus;Bonus;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
STAN LN EQUITY;GB0004082847;STANDARD CHARTER;Core;BRITAIN;Finance;Banques;Chantal;GBp;461,80;1438,06;-0,9%;560,00;21,3%;-;-;2,50;2,00;2,38;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
FTI US EQUITY;GB00BDSFG982;TECHNIPFMC PLC;Opportuniste;BRITAIN;Energie;Energie;Louis;USD;7,01;3,16;0,2%;11,00;56,9%;-;-;2,50;2,00;2,38;;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
O2D GR EQUITY;DE000A1J5RX9;TELEFONICA DEUTS;Opportuniste;GERMANY;Services de communication;Services de télécommunicatio;Cédric;EUR;2,29;6,82;1,6%;2,60;13,4%;-;-;2,50;2,00;2,38;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
ULVR LN EQUITY;GB00B10RZP78;UNILEVER PLC;Core;BRITAIN;Consommation de base;Produits domestiques et de soi;Sophie;GBp;4092,50;10641,49;-6,8%;4600,00;12,4%;-;-;2,83;1,00;2,38;;;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
WPP LN EQUITY;JE00B8KF9B49;WPP PLC;Core;BRITAIN;Services de communication;Médias et divertissement;Cédric;GBp;971,40;1164,42;21,4%;1108,00;14,1%;-;-;2,50;2,00;2,38;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
AMT US EQUITY;US03027X1000;AMERICAN TOWER C;Core;UNITED STATES;Immobilier;Immobilier;Jeremy;USD;282,12;128,40;25,7%;301,00;6,7%;-;-;2,50;2,00;2,38;Bonus;;Bonus;NON;OUI;NON;NON;NON;NON;NON;NON
BKNG US EQUITY;US09857L1089;BOOKING HOLDINGS;Core;UNITED STATES;Consommation discrétionnaire;Services consommateurs;Bruno;USD;2182,98;89,63;-2,0%;2550,00;16,8%;-;-;2,50;2,00;2,38;;;;NON;OUI;NON;NON;NON;NON;NON;NON
ADE NO EQUITY;NO0010844038;ADEVINTA ASA;Opportuniste;NORWAY;Services de communication;Médias et divertissement;Cédric;NOK;177,25;182,11;23,1%;180,00;1,6%;-;-;2,50;2,00;2,38;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ENEL IM EQUITY;IT0003128367;ENEL SPA;Core;ITALY;Services aux collectivités;Services aux collectivités;Sophie;EUR;7,82;79,48;-5,5%;9,30;19,0%;-;-;2,75;1,00;2,31;Bonus;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
HEN3 GR EQUITY;DE0006048432;HENKEL AG -PREF;Core;GERMANY;Consommation de base;Produits domestiques et de soi;Sophie;EUR;87,94;36,15;-4,7%;100,00;13,7%;-;-;3,08;0,00;2,31;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ITRK LN EQUITY;GB0031638363;INTERTEK GROUP;Core;BRITAIN;Industrie;Services commerciaux et profes;Yann;GBp;5300,00;857,32;-6,2%;5620,00;6,0%;-;-;3,08;0,00;2,31;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
IBM US EQUITY;US4592001014;IBM;Core;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;USD;144,09;129,15;14,5%;150,00;4,1%;-;-;2,42;2,00;2,31;;;Malus;OUI;OUI;NON;NON;NON;NON;NON;NON
KN FP EQUITY;FR0000120685;NATIXIS;Opportuniste;FRANCE;Finance;Services financiers diversifi;Chantal;EUR;4,00;12,63;43,5%;4,00;0,0%;-;-;2,75;1,00;2,31;;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
RR/ LN EQUITY;GB00B63H8491;ROLLS-ROYCE HOLD;Opportuniste;BRITAIN;Industrie;Biens d'investissement;Yann;GBp;110,86;927,80;-0,4%;113,00;1,9%;-;-;2,08;3,00;2,31;;;;NON;NON;OUI;NON;NON;NON;NON;NON
SPIE FP EQUITY;FR0012757854;SPIE SA;Opportuniste;FRANCE;Industrie;Services commerciaux et profes;Yann;EUR;19,77;3,17;11,0%;26,00;31,5%;-;-;2,75;1,00;2,31;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
SREN SW EQUITY;CH0126881561;SWISS RE AG;Core;SWITZERLAND;Finance;Assurance;Chantal;CHF;84,50;26,83;1,4%;95,70;13,3%;-;-;2,75;1,00;2,31;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
SCMN SW EQUITY;CH0008742519;SWISSCOM AG-REG;Core;SWITZERLAND;Services de communication;Services de télécommunicatio;Cédric;CHF;547,20;28,35;14,7%;495,00;-9,5%;-;-;2,75;1,00;2,31;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
TMUS US EQUITY;US8725901040;T-MOBILE US INC;Core;UNITED STATES;Services de communication;Services de télécommunicatio;Cédric;USD;142,23;177,50;5,5%;170,00;19,5%;-;-;2,42;2,00;2,31;Bonus;Bonus;;NON;OUI;NON;NON;NON;NON;NON;NON
UU/ LN EQUITY;GB00B39J2M42;UNITED UTILITIES;Core;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;GBp;1066,00;726,89;19,1%;1000,00;-6,2%;-;-;2,75;1,00;2,31;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
FR FP EQUITY;FR0013176526;VALEO;Opportuniste;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;EUR;25,09;6,06;-22,3%;28,50;13,6%;-;-;2,75;1,00;2,31;;;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
DG FP EQUITY;FR0000125486;VINCI SA;Core;FRANCE;Industrie;Biens d'investissement;Yann;EUR;90,06;53,82;10,7%;102,50;13,8%;-;-;2,75;1,00;2,31;;;Malus;NON;NON;OUI;OUI;OUI;NON;NON;NON
NEXI IM EQUITY;IT0005366767;NEXI SPA;Core;ITALY;Technologies de l'information;Logiciels et services;Moad;EUR;17,31;17,91;5,9%;20,80;20,2%;-;-;2,42;2,00;2,31;Bonus;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
ALC SW EQUITY;CH0432492467;ALCON INC;Core;SWITZERLAND;Soins de santé;Equipement et services de sant;Thomas;CHF;66,16;33,06;12,4%;72,32;9,3%;-;-;2,42;2,00;2,31;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
JDEP NA EQUITY;NL0014332678;JDE PEET'S NV;Core;NETHERLANDS;Consommation de base;Produits alimentaires, boisson;Sophie;EUR;29,35;14,72;-20,6%;34,50;17,5%;-;-;3,08;0,00;2,31;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
XOM US EQUITY;US30231G1022;EXXON MOBIL CORP;Core;UNITED STATES;Energie;Energie;Louis;USD;57,86;244,95;40,4%;66,00;14,1%;-;-;2,42;2,00;2,31;;;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
CVX US EQUITY;US1667641005;CHEVRON CORP;Core;UNITED STATES;Energie;Energie;Louis;USD;101,95;197,16;20,7%;123,00;20,6%;-;-;2,42;2,00;2,31;;;Malus;OUI;OUI;NON;NON;NON;NON;NON;NON
GILD US EQUITY;US3755581036;GILEAD SCIENCES;Core;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;USD;68,78;86,24;18,1%;75,00;9,0%;-;-;2,42;2,00;2,31;;;Malus;NON;OUI;NON;NON;NON;NON;NON;NON
GRF SM EQUITY;ES0171996087;GRIFOLS SA;Core;SPAIN;Soins de santé;Sciences pharmaceutiques, biot;Thomas;EUR;20,88;12,22;-12,6%;27,00;29,3%;-;-;3,00;0,00;2,25;Bonus;;;NON;NON;OUI;NON;NON;NON;NON;NON
ACKB BB EQUITY;BE0003764785;ACKERMANS & VAN;Opportuniste;BELGIUM;Finance;Services financiers diversifi;Chantal;EUR;147,60;4,94;20,0%;156,00;5,7%;-;-;2,00;3,00;2,25;;;;NON;NON;OUI;NON;NON;NON;NON;NON
AIBG ID EQUITY;IE00BF0L3536;AIB GROUP PLC;Opportuniste;IRELAND;Finance;Banques;Chantal;EUR;2,25;6,12;34,0%;2,65;17,6%;-;-;2,00;3,00;2,25;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
BN FP EQUITY;FR0000120644;DANONE;Core;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;EUR;62,91;43,26;17,0%;63,00;0,1%;-;-;2,33;2,00;2,25;;;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;NON
ENGI FP EQUITY;FR0010208488;ENGIE;Core;FRANCE;Services aux collectivités;Services aux collectivités;Sophie;EUR;11,68;28,44;-6,7%;16,00;37,0%;-;-;2,33;2,00;2,25;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;NON
FRA GR EQUITY;DE0005773303;FRAPORT AG;Opportuniste;GERMANY;Industrie;Transport;Thomas;EUR;56,08;5,19;13,6%;57,00;1,6%;-;-;2,33;2,00;2,25;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
INF LN EQUITY;GB00BMJ6DW54;INFORMA PLC;Core;BRITAIN;Services de communication;Médias et divertissement;Cédric;GBp;505,40;759,37;-7,9%;635,00;25,6%;-;-;3,00;0,00;2,25;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
BAMNB NA EQUITY;NL0000337319;BAM GROEP;Opportuniste;NETHERLANDS;Industrie;Biens d'investissement;Yann;EUR;2,40;0,67;40,6%;1,95;-18,7%;-;-;2,67;1,00;2,25;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
MTRO LN EQUITY;GB00BZ6STL67;METRO BANK PLC;Opportuniste;BRITAIN;Finance;Banques;Chantal;GBp;100,00;17,24;-28,6%;105,00;5,0%;-;-;3,00;0,00;2,25;;;;NON;NON;NON;NON;NON;NON;NON;NON
MTX GR EQUITY;DE000A0D9PT0;MTU AERO ENGINES;Core;GERMANY;Industrie;Biens d'investissement;Yann;EUR;209,00;11,16;-2,1%;221,00;5,7%;-;-;2,33;2,00;2,25;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
SAF FP EQUITY;FR0000073272;SAFRAN SA;Core;FRANCE;Industrie;Biens d'investissement;Yann;EUR;110,88;47,37;-4,4%;130,00;17,2%;-;-;2,67;1,00;2,25;;;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;NON
SVT LN EQUITY;GB00B1FH8J72;SEVERN TRENT;Core;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;GBp;2802,00;701,10;22,4%;2535,00;-9,5%;-;-;2,67;1,00;2,25;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
VIE FP EQUITY;FR0000124141;VEOLIA ENVIRONNE;Core;FRANCE;Services aux collectivités;Services aux collectivités;Sophie;EUR;27,50;15,94;37,5%;30,00;9,1%;-;-;2,33;2,00;2,25;;;Bonus;NON;NON;OUI;OUI;OUI;NON;NON;NON
VOD LN EQUITY;GB00BH4HKS39;VODAFONE GROUP;Core;BRITAIN;Services de communication;Services de télécommunicatio;Cédric;GBp;118,06;3275,16;-2,4%;170,00;44,0%;-;-;2,67;1,00;2,25;Bonus;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
WTB LN EQUITY;GB00B1KJJ408;WHITBREAD PLC;Core;BRITAIN;Consommation discrétionnaire;Services consommateurs;Bruno;GBp;3182,00;642,73;2,6%;3700,00;16,3%;-;-;2,33;2,00;2,25;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
AED BB EQUITY;BE0003851681;AEDIFICA;Opportuniste;BELGIUM;Immobilier;Immobilier;Jeremy;EUR;123,60;4,46;25,7%;120,50;-2,5%;-;-;2,25;2,00;2,19;Bonus;;;NON;NON;OUI;NON;NON;NON;NON;NON
BEFB BB EQUITY;BE0003678894;BEFIMMO;Opportuniste;BELGIUM;Immobilier;Immobilier;Jeremy;EUR;36,45;1,04;0,4%;39,00;7,0%;-;-;2,25;2,00;2,19;;;Bonus;NON;NON;NON;NON;NON;NON;NON;NON
CGG FP EQUITY;FR0013181864;CGG SA;Opportuniste;FRANCE;Energie;Energie;Louis;EUR;0,64;0,45;-21,1%;1,17;83,1%;-;-;2,58;1,00;2,19;;Bonus;Bonus;NON;NON;NON;OUI;NON;NON;NON;NON
COLR BB EQUITY;BE0974256852;COLRUYT SA;Opportuniste;BELGIUM;Consommation de base;Vente au détail de produits a;Sophie;EUR;47,81;6,50;-1,4%;48,75;2,0%;-;-;2,92;0,00;2,19;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
DBK GR EQUITY;DE0005140008;DEUTSCHE BANK-RG;Core;GERMANY;Finance;Services financiers diversifi;Chantal;EUR;10,75;22,21;20,1%;11,00;2,3%;-;-;2,25;2,00;2,19;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;NON;NON
EDF FP EQUITY;FR0010242511;EDF;Core;FRANCE;Services aux collectivités;Services aux collectivités;Sophie;EUR;10,82;34,14;-16,1%;15,80;46,1%;-;-;2,58;1,00;2,19;Bonus;Bonus;Bonus;NON;NON;OUI;OUI;NON;NON;NON;NON
NTGY SM EQUITY;ES0116870314;NATURGY ENERGY;Core;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;EUR;21,82;21,16;15,1%;22,44;2,8%;-;-;2,25;2,00;2,19;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
MRL SM EQUITY;ES0105025003;MERLIN PROPERTIE;Opportuniste;SPAIN;Immobilier;Immobilier;Jeremy;EUR;9,74;4,58;29,4%;9,98;2,4%;-;-;2,25;2,00;2,19;;;;NON;NON;OUI;NON;NON;NON;NON;NON
NESN SW EQUITY;CH0038863350;NESTLE SA-REG;Core;SWITZERLAND;Consommation de base;Produits alimentaires, boisson;Sophie;CHF;113,20;318,66;8,6%;126,00;11,3%;01/01/2020;8,04%;2,58;1,00;2,19;;Bonus;Malus;NON;NON;OUI;NON;NON;NON;OUI;NON
IHG LN EQUITY;GB00BHJYC057;INTERCONTINENTAL;Core;BRITAIN;Consommation discrétionnaire;Services consommateurs;Bruno;GBp;4691,00;859,47;0,0%;4900,00;4,5%;-;-;2,25;2,00;2,19;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
MKS LN EQUITY;GB0031274896;MARKS & SPENCER;Core;BRITAIN;Consommation discrétionnaire;Vente au détail;Bruno;GBp;139,15;272,47;2,1%;182,50;31,2%;-;-;2,25;2,00;2,19;;;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
WEIR LN EQUITY;GB0009465807;WEIR GROUP PLC;Core;BRITAIN;Industrie;Biens d'investissement;Yann;GBp;1656,50;430,05;-16,7%;2105,00;27,1%;-;-;2,58;1,00;2,19;;Bonus;Bonus;NON;NON;OUI;NON;NON;NON;NON;NON
