Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
INFINEON TECH;DE0006231004;IFX GR EQUITY;EUR;46,67;GERMANY;Technologies de l'information;Semi-conducteurs et équipemen;Louis;AA;62,07;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
INFORMA PLC;GB00BMJ6DW54;INF LN EQUITY;GBp;760,27;BRITAIN;Services de communication;Médias et divertissement;Cédric;AA;72,91;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ING GROEP NV;NL0011821202;INGA NA EQUITY;EUR;45,07;NETHERLANDS;Finance;Banques;Chantal;AA;68,44;Yellow;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
INMOBILIARIA COL;ES0139140174;COL SM EQUITY;EUR;4,76;SPAIN;Immobilier;Immobilier;Jeremy;A;60,91;Green;SELL;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
INTERTEK GROUP;GB0031638363;ITRK LN EQUITY;GBp;857,97;BRITAIN;Industrie;Services commerciaux et profes;Yann;AA;56,96;Green;HOLD;RATING SUSPENDED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
INTESA SANPAOLO;IT0000072618;ISP IM EQUITY;EUR;46,69;ITALY;Finance;Banques;Chantal;AAA;77,38;Orange;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
IBM;US4592001014;IBM US EQUITY;USD;129,15;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;AA;62,93;Orange;HOLD;RATING SUSPENDED;NOT RATED;OUI;NON;OUI;OUI;OUI;OUI;NON;NON;NON;NON
INTL FLVR & FRAG;US4595061015;IFF US EQUITY;USD;37,62;UNITED STATES;Matériaux;Matériaux;Jeremy;AA;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
IPSEN;FR0010259150;IPN FP EQUITY;EUR;7,56;FRANCE;Soins de santé;Sciences pharmaceutiques, biot;Thomas;A;45,38;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
IPSOS;FR0000073298;IPS FP EQUITY;EUR;1,75;FRANCE;Services de communication;Médias et divertissement;Cédric;AA;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
ITALGAS SPA;IT0005211237;IG IM EQUITY;EUR;4,66;ITALY;Services aux collectivités;Services aux collectivités;Sophie;A;NR;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;NON;OUI;NON;NON;OUI;NON;NON;NON
ITV PLC;GB0033986497;ITV LN EQUITY;GBp;468,16;BRITAIN;Services de communication;Médias et divertissement;Cédric;AAA;58,83;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
JCDECAUX SA;FR0000077919;DEC FP EQUITY;EUR;4,77;FRANCE;Services de communication;Médias et divertissement;Cédric;AAA;64,82;Green;SELL;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;NON;OUI;NON;NON
JERONIMO MARTINS;PTJMT0AE0001;JMT PL EQUITY;EUR;10,80;PORTUGAL;Consommation de base;Vente au détail de produits a;Sophie;AA;NR;Yellow;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
JPMORGAN CHASE;US46625H1005;JPM US EQUITY;USD;470,63;UNITED STATES;Finance;Banques;Chantal;BBB;72,94;Orange;BUY;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;OUI;OUI;NON;NON;NON;NON
JULIUS BAER GROU;CH0102484968;BAER SW EQUITY;CHF;13,65;SWITZERLAND;Finance;Services financiers diversifi;Chantal;A;NR;Yellow;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
K+S AG-REG;DE000KSAG888;SDF GR EQUITY;EUR;2,33;GERMANY;Matériaux;Matériaux;Jeremy;A;63,5;Green;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
KAUFMAN & BROAD;FR0004007813;KOF FP EQUITY;EUR;0,83;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;A;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;OUI
KBC GROUP;BE0003565737;KBC BB EQUITY;EUR;29,65;BELGIUM;Finance;Banques;Chantal;AAA;77,18;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KERING;FR0000121485;KER FP EQUITY;EUR;98,06;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;AA;60,99;Orange;BUY;RATING SUSPENDED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
KINGFISHER PLC;GB0033195214;KGF LN EQUITY;GBp;754,23;BRITAIN;Consommation discrétionnaire;Vente au détail;Bruno;AAA;72,69;Green;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KINGSPAN GROUP;IE0004927939;KSP ID EQUITY;EUR;16,59;IRELAND;Industrie;Biens d'investissement;Yann;AA;NR;Orange;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KION GROUP AG;DE000KGX8881;KGX GR EQUITY;EUR;11,66;GERMANY;Industrie;Biens d'investissement;Yann;A;60,72;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KLEPIERRE;FR0000121964;LI FP EQUITY;EUR;6,11;FRANCE;Immobilier;Immobilier;Jeremy;AA;71,76;Green;SELL;UNDERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
KONE OYJ-B;FI0009013403;KNEBV FH EQUITY;EUR;37,33;FINLAND;Industrie;Biens d'investissement;Yann;BBB;75,81;Green;SELL;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KONINKLIJKE AHOL;NL0011794037;AD NA EQUITY;EUR;27,74;NETHERLANDS;Consommation de base;Vente au détail de produits a;Sophie;A;72,65;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
BAM GROEP;NL0000337319;BAMNB NA EQUITY;EUR;0,67;NETHERLANDS;Industrie;Biens d'investissement;Yann;AA;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
DSM (KONIN);NL0000009827;DSM NA EQUITY;EUR;30,56;NETHERLANDS;Matériaux;Matériaux;Jeremy;AAA;88,5;Green;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KPN (KONIN) NV;NL0000009082;KPN NA EQUITY;EUR;11,70;NETHERLANDS;Services de communication;Services de télécommunicatio;Cédric;AAA;67,99;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
KONINKLIJKE PHIL;NL0000009538;PHIA NA EQUITY;EUR;34,90;NETHERLANDS;Soins de santé;Equipement et services de sant;Thomas;BB;NR;Orange;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
KORIAN;FR0010386334;KORI FP EQUITY;EUR;3,25;FRANCE;Soins de santé;Equipement et services de sant;Thomas;A;45,88;Orange;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
HOLCIM LTD;CH0012214059;HOLN SW EQUITY;CHF;32,59;SWITZERLAND;Matériaux;Matériaux;Jeremy;BBB;79,48;Orange;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
LAGARDERE SA;FR0000130213;MMB FP EQUITY;EUR;3,25;FRANCE;Services de communication;Médias et divertissement;Cédric;BBB;65,37;Orange;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
LANXESS AG;DE0005470405;LXS GR EQUITY;EUR;5,43;GERMANY;Matériaux;Matériaux;Jeremy;A;63,5;Green;BUY;RATING SUSPENDED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
LEG IMMOBILIEN S;DE000LEG1110;LEG GR EQUITY;EUR;9,77;GERMANY;Immobilier;Immobilier;Jeremy;AA;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
LEGRAND SA;FR0010307819;LR FP EQUITY;EUR;25,55;FRANCE;Industrie;Biens d'investissement;Yann;AA;90,76;Yellow;HOLD;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
LIBERTY GLOBAL-A;GB00B8W67662;LBTYA US EQUITY;USD;15,53;BRITAIN;Services de communication;Services de télécommunicatio;Cédric;BB;55,85;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;NON;NON;NON;NON
LISI;FR0000050353;FII FP EQUITY;EUR;1,59;FRANCE;Industrie;Biens d'investissement;Yann;BB;NR;Green;HOLD;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
LLOYDS BANKING;GB0008706128;LLOY LN EQUITY;GBp;3298,73;BRITAIN;Finance;Banques;Chantal;AA;70,29;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
LNA SANTE;FR0004170017;LNA FP EQUITY;EUR;0,50;FRANCE;Soins de santé;Equipement et services de sant;Thomas;BB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
LONZA GROUP -REG;CH0013841017;LONN SW EQUITY;CHF;52,98;SWITZERLAND;Soins de santé;Sciences pharmaceutiques, biot;Thomas;AAA;NR;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
L'OREAL;FR0000120321;OR FP EQUITY;EUR;222,90;FRANCE;Consommation de base;Produits domestiques et de soi;Sophie;AAA;68,21;Yellow;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
LUNDIN ENERGY AB;SE0000825820;LUNE SS EQUITY;SEK;75,03;SWEDEN;Energie;Energie;Louis;AA;NR;Orange;SELL;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
LVMH MOET HENNE;FR0000121014;MC FP EQUITY;EUR;352,77;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;A;62,63;Yellow;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
M6-METROPOLE TEL;FR0000053225;MMT FP EQUITY;EUR;2,17;FRANCE;Services de communication;Médias et divertissement;Cédric;A;43,51;Green;HOLD;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
MAISONS DU MONDE;FR0013153541;MDM FP EQUITY;EUR;0,92;FRANCE;Consommation discrétionnaire;Vente au détail;Bruno;AA;71,11;Green;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
MBANK SA;PLBRE0000012;MBK PW EQUITY;PLN;13,62;POLAND;Finance;Banques;Chantal;A;61,07;Green;SELL;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
MERCIALYS;FR0010241638;MERY FP EQUITY;EUR;0,99;FRANCE;Immobilier;Immobilier;Jeremy;A;NR;Green;NOT RATED;NOT RATED;UNDERPERFORM;NON;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
MERCK & CO;US58933Y1055;MRK US EQUITY;USD;191,02;UNITED STATES;Soins de santé;Sciences pharmaceutiques, biot;Thomas;BBB;69,28;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;OUI;OUI;NON;NON;NON;NON
MERCK KGAA;DE0006599905;MRK GR EQUITY;EUR;79,61;GERMANY;Soins de santé;Sciences pharmaceutiques, biot;Thomas;AAA;NR;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
MERLIN PROPERTIE;ES0105025003;MRL SM EQUITY;EUR;4,57;SPAIN;Immobilier;Immobilier;Jeremy;BB;56,82;Green;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
MERSEN;FR0000039620;MRN FP EQUITY;EUR;0,69;FRANCE;Industrie;Biens d'investissement;Yann;BBB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
METRO AG;DE000BFB0019;B4B GR EQUITY;EUR;4,02;GERMANY;Consommation de base;Vente au détail de produits a;Sophie;AA;79,38;Green;HOLD;NEUTRAL;REDUCE;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
METRO BANK PLC;GB00BZ6STL67;MTRO LN EQUITY;GBp;17,24;BRITAIN;Finance;Banques;Chantal;BB;56;Yellow;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;NON;NON;NON;NON
MICHELIN;FR0000121261;ML FP EQUITY;EUR;25,30;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;AA;NR;Yellow;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
MONCLER SPA;IT0004965148;MONC IM EQUITY;EUR;16,12;ITALY;Consommation discrétionnaire;Biens de consommation durables;Bruno;BBB;78,75;Green;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
MORGAN STANLEY;US6174464486;MS US EQUITY;USD;181,96;UNITED STATES;Finance;Services financiers diversifi;Chantal;AA;72,26;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
MTU AERO ENGINES;DE000A0D9PT0;MTX GR EQUITY;EUR;11,13;GERMANY;Industrie;Biens d'investissement;Yann;AA;81,05;Green;HOLD;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
MUENCHENER RUE-R;DE0008430026;MUV2 GR EQUITY;EUR;33,06;GERMANY;Finance;Assurance;Chantal;AA;87,31;Green;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NATIONAL GRID PL;GB00BDR05C01;NG/ LN EQUITY;GBp;3349,31;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;AAA;63,79;Yellow;BUY;RATING SUSPENDED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
NATIXIS;FR0000120685;KN FP EQUITY;EUR;12,63;FRANCE;Finance;Services financiers diversifi;Chantal;AAA;78,94;Yellow;HOLD;RATING SUSPENDED;BUY;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
NAVIGATOR CO SA/;PTPTI0AM0006;NVG PL EQUITY;EUR;2,14;PORTUGAL;Matériaux;Matériaux;Jeremy;A;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
NEMETSCHEK SE;DE0006452907;NEM GR EQUITY;EUR;9,02;GERMANY;Technologies de l'information;Logiciels et services;Moad;BBB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
QUADIENT SA;FR0000120560;QDT FP EQUITY;EUR;0,85;FRANCE;Technologies de l'information;Matériel et équipement liés;Moad;AA;69,11;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
NESTE OYJ;FI0009013296;NESTE FH EQUITY;EUR;39,25;FINLAND;Energie;Energie;Louis;AAA;69,87;Green;SELL;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NESTLE SA-REG;CH0038863350;NESN SW EQUITY;CHF;318,55;SWITZERLAND;Consommation de base;Produits alimentaires, boisson;Sophie;AA;77,76;Orange;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NETFLIX INC;US64110L1061;NFLX US EQUITY;USD;230,39;UNITED STATES;Services de communication;Médias et divertissement;Cédric;BB;35;Yellow;SELL;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
NEXANS SA;FR0000044448;NEX FP EQUITY;EUR;3,60;FRANCE;Industrie;Biens d'investissement;Yann;BBB;NR;Green;HOLD;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;NON;OUI;NON;NON
NEXITY;FR0010112524;NXI FP EQUITY;EUR;2,43;FRANCE;Immobilier;Immobilier;Jeremy;A;75,83;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;OUI;NON;NON
NEXT PLC;GB0032089863;NXT LN EQUITY;GBp;1052,69;BRITAIN;Consommation discrétionnaire;Vente au détail;Bruno;AA;51,72;Yellow;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NH HOTEL GROUP S;ES0161560018;NHH SM EQUITY;EUR;1,46;SPAIN;Consommation discrétionnaire;Services consommateurs;Bruno;AA;NR;Green;NOT RATED;NOT RATED;UNDERPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
NN GROUP;NL0010773842;NN NA EQUITY;EUR;13,78;NETHERLANDS;Finance;Assurance;Chantal;AA;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NOKIA OYJ;FI0009000681;NOKIA FH EQUITY;EUR;29,44;FINLAND;Technologies de l'information;Matériel et équipement liés;Moad;AA;76,93;Green;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NORDEX SE;DE000A0D6554;NDX1 GR EQUITY;EUR;2,71;GERMANY;Industrie;Biens d'investissement;Yann;A;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
NORMA GROUP SE;DE000A1H8BV3;NOEJ GR EQUITY;EUR;1,40;GERMANY;Industrie;Biens d'investissement;Yann;AA;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
NOVO NORDISK-B;DK0060534915;NOVOB DC EQUITY;DKK;1460,84;DENMARK;Soins de santé;Sciences pharmaceutiques, biot;Thomas;AAA;80,22;Yellow;SELL;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
OBRASCON HUARTE;ES0142090317;OHL SM EQUITY;EUR;-;SPAIN;Industrie;Biens d'investissement;Yann;BB;NR;Green;BUY;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
OCCIDENTAL PETE;US6745991058;OXY US EQUITY;USD;24,64;UNITED STATES;Energie;Energie;Louis;BB;73,87;Yellow;BUY;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
OMV AG;AT0000743059;OMV AV EQUITY;EUR;15,11;AUSTRIA;Energie;Energie;Louis;AAA;72,76;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ORACLE CORP;US68389X1054;ORCL US EQUITY;USD;249,94;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;BBB;55;Orange;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
ORANGE;FR0000133308;ORA FP EQUITY;EUR;25,40;FRANCE;Services de communication;Services de télécommunicatio;Cédric;A;NR;Orange;BUY;NEUTRAL;BUY;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
ORPEA;FR0000184798;ORP FP EQUITY;EUR;6,67;FRANCE;Soins de santé;Equipement et services de sant;Thomas;A;NR;Green;BUY;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
ORSTED A/S;DK0060094928;ORSTED DC EQUITY;DKK;411,38;DENMARK;Services aux collectivités;Services aux collectivités;Sophie;AAA;NR;Green;NOT RATED;NEUTRAL;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
OTP BANK PLC;HU0000061726;OTP HB EQUITY;HUF;4617,20;HUNGARY;Finance;Banques;Chantal;A;58,65;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
OUTOKUMPU OYJ;FI0009002422;OUT1V FH EQUITY;EUR;2,59;FINLAND;Matériaux;Matériaux;Jeremy;BBB;NR;Yellow;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
METSO OUTOTEC OY;FI0009014575;MOCORP FH EQUITY;EUR;7,61;FINLAND;Industrie;Biens d'investissement;Yann;AAA;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
PARAGON BANKING;GB00B2NGPM57;PAG LN EQUITY;GBp;141,63;BRITAIN;Finance;Banques;Chantal;AA;58,22;Green;BUY;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
PARTNERS GROUP J;CH0024608827;PGHN SW EQUITY;CHF;42,83;SWITZERLAND;Finance;Services financiers diversifi;Chantal;A;NR;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
PAYPAL HOLDINGS;US70450Y1038;PYPL US EQUITY;USD;328,47;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;A;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
PEARSON PLC;GB0006776081;PSON LN EQUITY;GBp;602,85;BRITAIN;Services de communication;Médias et divertissement;Cédric;A;58,82;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
PENNON GRP PLC;GB00B18V8630;PNN LN EQUITY;GBp;362,05;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;AA;NR;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
PERNOD RICARD SA;FR0000120693;RI FP EQUITY;EUR;48,98;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;AA;72,39;Green;HOLD;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
PIRELLI E C SPA;IT0005278236;PIRC IM EQUITY;EUR;5,54;ITALY;Consommation discrétionnaire;Automobiles et composants auto;Yann;AA;NR;Green;NOT RATED;NEUTRAL;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
PKOBP;PLPKO0000016;PKO PW EQUITY;PLN;49,21;POLAND;Finance;Banques;Chantal;BBB;54,72;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
PLASTIC OMNIUM;FR0000124570;POM FP EQUITY;EUR;4,00;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;AA;NR;Green;NOT RATED;NEUTRAL;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;OUI;NON;NON
PKN ORLEN;PLPKN0000018;PKN PW EQUITY;PLN;31,51;POLAND;Energie;Energie;Louis;A;57,46;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
POSTNL NV;NL0009739416;PNL NA EQUITY;EUR;2,24;NETHERLANDS;Industrie;Transport;Thomas;AAA;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
PPG INDS INC;US6935061076;PPG US EQUITY;USD;38,98;UNITED STATES;Matériaux;Matériaux;Jeremy;AA;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
PROXIMUS;BE0003810273;PROX BB EQUITY;EUR;5,92;BELGIUM;Services de communication;Services de télécommunicatio;Cédric;A;59,57;Green;HOLD;UNDERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
PRUDENTIAL PLC;GB0007099541;PRU LN EQUITY;GBp;3723,32;BRITAIN;Finance;Assurance;Chantal;A;67,25;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
PRYSMIAN SPA;IT0004176001;PRY IM EQUITY;EUR;8,23;ITALY;Industrie;Biens d'investissement;Yann;A;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
PUBLICIS GROUPE;FR0000130577;PUB FP EQUITY;EUR;13,81;FRANCE;Services de communication;Médias et divertissement;Cédric;A;52,18;Yellow;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
PUMA SE;DE0006969603;PUM GR EQUITY;EUR;16,18;GERMANY;Consommation discrétionnaire;Biens de consommation durables;Bruno;AAA;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
RAIFFEISEN BANK;AT0000606306;RBI AV EQUITY;EUR;6,77;AUSTRIA;Finance;Banques;Chantal;A;80,03;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
RANDSTAD NV;NL0000379121;RAND NA EQUITY;EUR;11,38;NETHERLANDS;Industrie;Services commerciaux et profes;Yann;AA;NR;Green;NOT RATED;RATING SUSPENDED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
RATIONAL AG;DE0007010803;RAA GR EQUITY;EUR;10,70;GERMANY;Industrie;Biens d'investissement;Yann;BBB;NR;Green;NOT RATED;NOT RATED;UNDERPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
RECKITT BENCKISE;GB00B24CGK77;RKT LN EQUITY;GBp;4036,75;BRITAIN;Consommation de base;Produits domestiques et de soi;Sophie;AA;66,13;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
