Gender;Height (in);Height (cm)
Male;65,118504;165,401001
Male;66,262820;168,307563
Male;67,701680;171,962266
Male;65,530696;166,447968
Male;69,868970;177,467183
Male;68,481875;173,943963
Male;72,213963;183,423467
Male;68,179533;173,176013
Male;71,981207;182,832265
Male;66,065137;167,805447
Male;66,656164;169,306657
Male;67,599424;171,702537
Male;68,245944;173,344698
Male;64,808621;164,613898
Male;67,492218;171,430234
Male;68,180731;173,179056
Male;69,553385;176,665598
Male;66,402250;168,661714
Male;66,592157;169,144079
Male;71,935887;182,717152
Male;68,287042;173,449086
Male;69,955451;177,686846
Male;71,851129;182,501868
Male;65,755499;167,018967
Male;67,031852;170,260904
Male;76,709835;194,842981
Male;72,571121;184,330648
Male;69,728805;177,111164
Male;72,799224;184,910029
Male;72,539354;184,249959
Male;72,294743;183,628648
Male;67,253325;170,823445
Male;75,944460;192,898929
Male;66,316232;168,443229
Male;71,156053;180,736376
Male;71,192202;180,828194
Male;72,197512;183,381680
Male;75,140821;190,857686
Male;64,411529;163,605285
Male;64,734424;164,425438
Male;63,414587;161,073051
Male;67,848665;172,335610
Male;65,931785;167,466733
Male;70,966550;180,255038
Male;67,580747;171,655098
Male;68,589270;174,216747
Male;70,324753;178,624874
Male;72,394480;183,881980
Male;70,820857;179,884976
Male;65,903301;167,394385
Male;74,795375;189,980253
Male;67,680919;171,909534
Male;67,155963;170,576145
Male;71,774841;182,308097
Male;64,665232;164,249689
Male;68,122768;173,031832
Male;66,786927;169,638795
Male;66,805850;169,686859
Male;67,886014;172,430475
Male;69,173577;175,700885
Male;70,224923;178,371305
Male;64,855799;164,733730
Male;67,821093;172,265577
Male;63,440247;161,138229
Male;71,848435;182,495025
Male;66,728074;169,489307
Male;71,968306;182,799496
Male;76,021347;193,094223
Male;71,476101;181,549297
Male;67,369809;171,119314
Male;70,555244;179,210319
Male;69,867101;177,462437
Male;67,947570;172,586828
Male;74,104559;188,225580
Male;69,167836;175,686304
Male;66,557229;169,055361
Male;66,701605;169,422077
Male;67,246065;170,805005
Male;69,051385;175,390519
Male;70,672747;179,508778
Male;65,498995;166,367448
Male;65,187221;165,575541
Male;67,568143;171,623083
Male;73,815386;187,491080
Male;71,606564;181,880673
Male;67,724749;172,020863
Male;68,231132;173,307075
Male;65,929422;167,460731
Male;71,548496;181,733179
Male;69,164381;175,677528
Male;68,597659;174,238055
Male;71,057511;180,486078
Male;63,644060;161,655911
Male;71,182455;180,803437
Male;66,128673;167,966830
Male;65,057373;165,245728
Male;68,091374;172,952091
Male;70,993144;180,322586
Male;74,221175;188,521784
Male;69,327118;176,090880
Male;64,931342;164,925609
Male;68,346842;173,600979
Male;70,929125;180,159978
Male;61,477809;156,153635
Male;68,490813;173,966664
Male;72,049890;183,006720
Male;72,521667;184,205034
Male;71,233911;180,934135
Male;72,259115;183,538153
Male;67,565040;171,615201
Male;72,267607;183,559722
Male;62,600248;159,004630
Male;66,236437;168,240551
Male;69,650437;176,912111
Male;69,285921;175,986240
Male;70,725279;179,642208
Male;68,828615;174,824682
Male;66,014428;167,676648
Male;66,414882;168,693800
Male;66,615624;169,203686
Male;68,034822;172,808447
Male;70,502398;179,076091
Male;69,157729;175,660633
Male;70,795023;179,819357
Male;65,194377;165,593718
Male;74,785714;189,955714
Male;71,066906;180,509942
Male;69,334198;176,108862
Male;69,899204;177,543978
Male;64,425194;163,639992
Male;67,852131;172,344412
Male;67,549069;171,574636
Male;74,767447;189,909315
Male;71,418946;181,404123
Male;67,120344;170,485675
Male;69,859588;177,443353
Male;68,430813;173,814266
Male;67,933483;172,551046
Male;68,495343;173,978172
Male;65,244143;165,720124
Male;70,185352;178,270794
Male;71,104133;180,604498
Male;68,447579;173,856849
Male;65,420577;166,168265
Male;67,700788;171,960002
Male;74,223063;188,526580
Male;71,167246;180,764805
Male;67,230772;170,766161
Male;67,880559;172,416620
Male;67,376375;171,135994
Male;68,761247;174,653567
Male;71,705273;182,131392
Male;69,380995;176,227727
Male;73,716528;187,239980
Male;69,453376;176,411576
Male;70,786290;179,797176
Male;71,768464;182,291898
Male;69,343454;176,132373
Male;65,286026;165,826505
Male;70,921844;180,141485
Male;68,596663;174,235523
Male;68,603796;174,253643
Male;69,478744;176,476010
Male;65,930896;167,464476
Male;68,523345;174,049297
Male;73,929124;187,779975
Male;71,197938;180,842762
Male;66,556587;169,053731
Male;71,742276;182,225382
Male;69,744829;177,151867
Male;66,750654;169,546661
Male;69,692422;177,018753
Male;70,403517;178,824933
Male;69,019736;175,310130
Male;64,732287;164,420009
Male;70,998074;180,335109
Male;64,459814;163,727928
Male;69,749523;177,163787
Male;71,526849;181,678196
Male;68,327916;173,552906
Male;70,764720;179,742389
Male;71,419050;181,404386
Male;69,390474;176,251804
Male;72,001732;182,884400
Male;69,191475;175,746346
Male;66,166363;168,062563
Male;67,272143;170,871243
Male;70,915835;180,126222
Male;69,119888;175,564515
Male;67,409026;171,218926
Male;72,938649;185,264169
Male;70,490929;179,046959
Male;69,008259;175,280979
Male;66,762110;169,575759
Male;69,120664;175,566486
Male;73,126267;185,740719
Male;67,486824;171,416533
Male;64,955078;164,985899
Male;67,782489;172,167522
Male;67,662399;171,862493
Male;66,476397;168,850048
Male;72,987070;185,387158
Male;69,563232;176,690610
Male;71,003560;180,349043
Male;69,915637;177,585719
Male;71,697142;182,110740
Male;67,649941;171,830850
Male;68,295555;173,470709
Male;68,687256;174,465629
Male;68,915772;175,046060
Male;68,960880;175,160634
Male;67,247235;170,807977
Male;68,915864;175,046294
Male;65,838545;167,229903
Male;64,671076;164,264532
Male;66,295898;168,391580
Male;67,097586;170,427868
Male;66,998290;170,175656
Male;70,961971;180,243406
Male;68,420872;173,789015
Male;67,652528;171,837420
Male;75,620193;192,075291
Male;70,549242;179,195075
Male;68,890839;174,982731
Male;68,284532;173,442711
Male;64,995078;165,087499
Male;65,575772;166,562460
Male;69,306088;176,037464
Male;65,704715;166,889977
Male;67,803991;172,222137
Male;69,216147;175,809014
Male;68,015006;172,758115
Male;61,926949;157,294450
Male;67,266363;170,856561
Male;67,676822;171,899128
Male;69,970904;177,726095
Male;65,313462;165,896192
Male;71,906005;182,641254
Male;66,233904;168,234116
Male;65,814943;167,169955
Male;72,844948;185,026168
Male;70,949443;180,211586
Male;71,343808;181,213271
Male;71,055664;180,481387
Male;61,925547;157,290890
Male;68,762458;174,656642
Male;67,583941;171,663211
Male;67,361695;171,098704
Male;65,879157;167,333058
Male;68,694762;174,484696
Male;69,534862;176,618548
Male;66,634691;169,252115
Male;69,809902;177,317150
Male;68,679874;174,446879
Male;71,615179;181,902554
Male;69,689795;177,012080
Male;70,901086;180,088759
Male;68,005814;172,734768
Male;70,615744;179,363990
Male;71,571194;181,790833
Male;73,012863;185,452673
Male;60,748118;154,300219
Male;69,082120;175,468584
Male;69,338738;176,120394
Male;67,757138;172,103130
Male;76,027082;193,108788
Male;72,227616;183,458145
Male;68,921041;175,059445
Male;65,334928;165,950716
Male;65,932403;167,468305
Male;70,466689;178,985391
Male;73,181044;185,879851
Male;68,550880;174,119234
Male;68,529408;174,064697
Male;63,596455;161,534997
Male;67,144241;170,546373
Male;70,816371;179,873581
Male;73,530285;186,766923
Male;66,141069;167,998315
Male;67,906850;172,483398
Male;71,433376;181,440775
Male;67,112680;170,466207
Male;73,283918;186,141152
Male;63,672583;161,728361
Male;69,225320;175,832314
Male;69,670124;176,962115
Male;70,485448;179,033038
Male;69,004678;175,271882
Male;68,457894;173,883051
Male;66,024734;167,702824
Male;69,318169;176,068150
Male;69,077741;175,457461
Male;73,562270;186,848167
Male;66,087689;167,862730
Male;73,525984;186,756000
Male;69,679060;176,984813
Male;66,676781;169,359024
Male;72,961665;185,322630
Male;68,246872;173,347055
Male;71,956626;182,769830
Male;71,058633;180,488929
Male;66,976950;170,121453
Male;68,478002;173,934125
Male;71,284441;181,062481
Male;64,980456;165,050359
Male;66,761884;169,575185
Male;68,766162;174,666051
Male;68,992544;175,241061
Male;71,295195;181,089794
Male;69,049478;175,385675
Male;66,541482;169,015364
Male;68,515523;174,029430
Male;67,459715;171,347677
Male;71,357382;181,247751
Male;68,590406;174,219631
Male;69,736087;177,129660
Male;69,833857;177,377997
Male;72,410586;183,922888
Male;65,434597;166,203876
Male;66,267657;168,319848
Male;69,974301;177,734724
Male;71,209194;180,871353
Male;69,937400;177,640996
Male;71,386022;181,320496
Male;64,588782;164,055505
Male;68,792984;174,734180
Male;68,445747;173,852197
Male;69,201578;175,772008
Male;69,426017;176,342084
Male;69,606225;176,799812
Male;72,881707;185,119536
Male;62,178331;157,932961
Male;68,874707;174,941755
Male;71,080084;180,543412
Male;72,182534;183,343637
Male;72,062755;183,039398
Male;67,380058;171,145347
Male;67,934635;172,553972
Male;70,801930;179,836903
Male;65,549121;166,494768
Male;70,191224;178,285710
Male;71,778995;182,318648
Male;68,130288;173,050933
Male;68,359483;173,633086
Male;66,090357;167,869507
Male;71,580123;181,813513
Male;73,536668;186,783136
Male;71,115532;180,633451
Male;70,794303;179,817528
Male;71,729060;182,191814
Male;63,196530;160,519187
Male;68,101113;172,976828
Male;65,856100;167,274493
Male;68,346457;173,600000
Male;69,560229;176,682981
Male;68,728304;174,569892
Male;70,158278;178,202025
Male;68,923337;175,065275
Male;64,300174;163,322442
Male;70,455633;178,957308
Male;68,624063;174,305121
Male;69,664752;176,948469
Male;69,058885;175,409567
Male;67,226986;170,756545
Male;66,115800;167,934131
Male;68,617387;174,288164
Male;69,249013;175,892493
Male;69,641906;176,890442
Male;72,797028;184,904452
Male;75,043995;190,611747
Male;70,972684;180,270618
Male;74,388012;188,945552
Male;64,362164;163,479896
Male;71,327001;181,170583
Male;67,172024;170,616942
Male;74,401672;188,980247
Male;63,867921;162,224519
Male;68,885992;174,970419
Male;72,131990;183,215255
Male;68,403726;173,745464
Male;65,092656;165,335347
Male;69,229679;175,843385
Male;71,947788;182,747382
Male;67,462991;171,355996
Male;69,312909;176,054788
Male;63,731048;161,876862
Male;60,679817;154,126736
Male;70,663323;179,484841
Male;67,594031;171,688839
Male;74,649508;189,609750
Male;70,467079;178,986380
Male;71,944011;182,737787
Male;74,025751;188,025407
Male;70,782228;179,786860
Male;64,727257;164,407233
Male;68,383024;173,692881
Male;71,469221;181,531821
Male;66,944454;170,038912
Male;70,796979;179,824327
Male;65,292435;165,842784
Male;61,754010;156,855185
Male;62,480671;158,700905
Male;67,805680;172,226427
Male;69,525994;176,596025
Male;72,500757;184,151922
Male;70,485295;179,032649
Male;66,689736;169,391929
Male;71,291918;181,081471
Male;71,796767;182,363789
Male;73,056344;185,563114
Male;68,853354;174,887520
Male;66,045444;167,755427
Male;73,985901;187,924190
Male;69,251618;175,899109
Male;69,340657;176,125269
Male;70,976265;180,279713
Male;63,561278;161,445645
Male;69,770151;177,216183
Male;65,188478;165,578733
Male;69,978941;177,746510
Male;69,750597;177,166517
Male;71,171431;180,775435
Male;70,572002;179,252885
Male;65,651090;166,753767
Male;67,138414;170,531572
Male;65,918087;167,431941
Male;73,786636;187,418057
Male;67,737251;172,052618
Male;65,544076;166,481954
Male;71,213913;180,883338
Male;65,592354;166,604579
Male;65,667554;166,795588
Male;61,972736;157,410749
Male;73,899939;187,705844
Male;72,342184;183,749146
Male;70,311694;178,591704
Male;67,115564;170,473533
Male;65,932482;167,468504
Male;67,227745;170,758472
Male;70,114344;178,090433
Male;74,841500;190,097409
Male;64,527303;163,899349
Male;70,051255;177,930187
Male;71,833169;182,456249
Male;72,836740;185,005319
Male;73,301866;186,186739
Male;66,393192;168,638709
Male;66,515162;168,948511
Male;69,272813;175,952944
Male;68,231954;173,309163
Male;70,413869;178,851227
Male;69,726885;177,106288
Male;65,510734;166,397264
Male;69,137269;175,608664
Male;73,666189;187,112120
Male;65,892753;167,367591
Male;68,354429;173,620250
Male;70,424731;178,878816
Male;72,080201;183,083711
Male;71,711125;182,146257
Male;65,729162;166,952071
Male;63,898338;162,301779
Male;70,316010;178,602665
Male;65,788730;167,103374
Male;69,827464;177,361759
Male;68,331150;173,561121
Male;67,741589;172,063637
Male;75,033889;190,586079
Male;73,404059;186,446309
Male;69,554762;176,669095
Male;64,539040;163,929161
Male;67,546761;171,568774
Male;73,096478;185,665054
Male;66,553981;169,047112
Male;73,991604;187,938675
Male;70,862688;179,991228
Male;71,568734;181,784584
Male;65,838391;167,229513
Male;70,275534;178,499856
Male;61,773522;156,904746
Male;74,824945;190,055361
Male;71,605146;181,877070
Male;67,260104;170,840663
Male;70,924194;180,147454
Male;75,059669;190,651558
Male;73,100876;185,676226
Male;70,661992;179,481460
Male;67,144667;170,547455
Male;67,123153;170,492810
Male;69,524944;176,593358
Male;65,224692;165,670717
Male;68,410463;173,762576
Male;68,763464;174,659198
Male;67,936869;172,559647
Male;69,237829;175,864085
Male;68,465724;173,902939
Male;65,694294;166,863506
Male;69,430998;176,354735
Male;66,135391;167,983894
Male;70,877048;180,027702
Male;65,973065;167,571585
Male;64,939115;164,945353
Male;68,368603;173,656252
Male;69,525551;176,594900
Male;66,455602;168,797229
Male;69,474582;176,465438
Male;68,730099;174,574451
Male;73,781274;187,404437
Male;76,501883;194,314784
Male;71,225702;180,913283
Male;64,506210;163,845775
Male;66,503815;168,919690
Male;69,210413;175,794449
Male;63,546370;161,407779
Male;69,731128;177,117066
Male;68,608208;174,264849
Male;71,464130;181,518891
Male;69,509488;176,554100
Male;73,759636;187,349475
Male;68,277787;173,425578
Male;72,454633;184,034769
Male;70,769193;179,753751
Male;70,452141;178,948437
Male;68,904099;175,016411
Male;69,238427;175,865605
Male;67,277847;170,885732
Male;71,463765;181,517962
Male;68,840634;174,855209
Male;71,405965;181,371150
Male;70,144874;178,167980
Male;70,679691;179,526415
Male;68,541116;174,094435
Male;71,434727;181,444206
Male;65,220820;165,660884
Male;70,773151;179,763805
Male;69,760095;177,190641
Male;63,962531;162,464828
Male;70,304163;178,572575
Male;70,316849;178,604797
Male;67,405408;171,209736
Male;67,121503;170,488618
Male;68,377580;173,679053
Male;69,578239;176,728727
Male;62,532253;158,831923
Male;69,336822;176,115527
Male;66,787467;169,640167
Male;75,391292;191,493882
Male;70,213629;178,342618
Male;71,103564;180,603052
Male;69,793888;177,276475
Male;66,471844;168,838485
Male;70,713714;179,612834
Male;63,618717;161,591542
Male;70,549280;179,195170
Male;67,402821;171,203166
Male;71,435175;181,445344
Male;68,593405;174,227249
Male;71,452327;181,488909
Male;70,698790;179,574926
Male;71,391464;181,334320
Male;70,485643;179,033534
Male;74,408188;188,996797
Male;63,400423;161,037075
Male;68,399719;173,735287
Male;67,429854;171,271830
Male;70,812000;179,862480
Male;67,110271;170,460088
Male;67,728220;172,029679
Male;68,550832;174,119114
Male;68,619485;174,293492
Male;70,605761;179,338633
Male;67,086781;170,400424
Male;65,311708;165,891739
Male;69,924147;177,607333
Male;68,364635;173,646173
Male;70,869805;180,009305
Male;76,012300;193,071242
Male;67,965968;172,633558
Male;69,765087;177,203322
Male;69,568672;176,704428
Male;71,560019;181,762448
Male;70,958049;180,233445
Male;65,440922;166,219943
Male;70,976125;180,279356
Male;67,992851;172,701842
Male;70,518515;179,117028
Male;69,109191;175,537346
Male;71,605573;181,878156
Male;69,889559;177,519479
Male;66,456899;168,800523
Male;70,291354;178,540040
Male;62,619965;159,054712
Male;66,621682;169,219072
Male;65,350288;165,989732
Male;71,606740;181,881119
Male;69,412914;176,308803
Male;69,893814;177,530287
Male;65,665959;166,791535
Male;64,408273;163,597014
Male;68,626886;174,312290
Male;69,600283;176,784718
Male;67,453231;171,331207
Male;68,169995;173,151786
Male;69,553614;176,666180
Male;65,747298;166,998137
Male;73,122393;185,730879
Male;66,620926;169,217152
Male;69,145909;175,630609
Male;65,965795;167,553119
Male;67,203266;170,696297
Male;65,453957;166,253051
Male;73,030092;185,496434
Male;68,317245;173,525802
Male;66,334281;168,489075
Male;72,361983;183,799438
Male;67,717427;172,002266
Male;70,477591;179,013082
Male;71,162992;180,753999
Male;69,354780;176,161140
Male;70,097238;178,046984
Male;69,297292;176,015121
Male;63,309969;160,807322
Male;67,887230;172,433564
Male;73,202970;185,935544
Male;73,141155;185,778534
Male;70,895983;180,075796
Male;72,142693;183,242439
Male;72,132778;183,217256
Male;71,206619;180,864812
Male;66,252151;168,280462
Male;72,341589;183,747635
Male;68,068922;172,895062
Male;71,397309;181,349165
Male;65,726032;166,944121
Male;67,110447;170,460536
Male;72,215035;183,426189
Male;63,009783;160,044849
Male;69,569155;176,705654
Male;70,404002;178,826164
Male;68,030216;172,796748
Male;69,777910;177,235892
Male;62,078635;157,679733
Male;65,834420;167,219426
Male;70,780936;179,783578
Male;69,571430;176,711433
Male;67,327065;171,010745
Male;67,814602;172,249089
Male;66,682243;169,372897
Male;69,639709;176,884860
Male;64,774237;164,526563
Male;73,962941;187,865870
Male;67,933384;172,550795
Male;66,770039;169,595900
Male;68,936358;175,098348
Male;76,434559;194,143779
Male;68,996145;175,250209
Male;73,501840;186,694673
Male;69,603103;176,791883
Male;72,067380;183,051145
Male;70,489225;179,042630
Male;67,034851;170,268520
Male;66,184108;168,107636
Male;68,694210;174,483292
Male;66,653234;169,299214
Male;69,838657;177,390189
Male;66,245065;168,262465
Male;72,811032;184,940020
Male;64,474747;163,765857
Male;69,754479;177,176377
Male;70,661444;179,480069
Male;72,470618;184,075371
Male;68,171533;173,155693
Male;72,987171;185,387415
Male;70,533565;179,155255
Male;70,046953;177,919261
Male;69,016067;175,300811
Male;73,549162;186,814872
Male;68,118098;173,019968
Male;68,287637;173,450598
Male;71,527048;181,678701
Male;73,396543;186,427219
Male;69,844564;177,405193
Male;70,151966;178,185993
Male;66,299726;168,401304
Male;76,492934;194,292052
Male;71,032385;180,422258
Male;66,631041;169,242844
Male;66,075537;167,831864
Male;70,613162;179,357433
Male;65,203481;165,616841
Male;66,861861;169,829128
Male;73,757998;187,345316
Male;69,898086;177,541139
Male;69,527320;176,599392
Male;66,744477;169,530973
Male;69,074492;175,449210
Male;68,561751;174,146847
Male;70,322550;178,619277
Male;71,949120;182,750766
Male;70,916552;180,128042
Male;70,371123;178,742653
Male;67,796477;172,203052
Male;68,699996;174,497989
Male;69,114632;175,551165
Male;67,697104;171,950643
Male;71,280330;181,052039
Male;71,427575;181,426041
Male;71,043356;180,450125
Male;64,726256;164,404690
Male;67,148159;170,556325
Male;72,291697;183,620910
Male;70,242866;178,416880
Male;64,457858;163,722959
Male;74,464989;189,141071
Male;65,298915;165,859244
Male;72,749526;184,783796
Male;65,718179;166,924174
Male;68,890095;174,980841
Male;73,038409;185,517558
Male;69,860746;177,446296
Male;69,861197;177,447440
Male;71,765562;182,284527
Male;66,820846;169,724949
Male;67,787694;172,180742
Male;69,250714;175,896813
Male;68,929672;175,081367
Male;68,997110;175,252659
Male;66,373995;168,589947
Male;66,376519;168,596359
Male;69,054570;175,398607
Male;65,667475;166,795388
Male;62,752878;159,392309
Male;66,577987;169,108086
Male;67,272171;170,871313
Male;69,836552;177,384841
Male;74,216431;188,509735
Male;71,230529;180,925543
Male;70,762865;179,737677
Male;67,878954;172,412543
Male;67,114527;170,470898
Male;66,539812;169,011123
Male;67,091219;170,411695
Male;68,893418;174,989281
Male;71,882697;182,582050
Male;70,531876;179,150965
Male;69,208108;175,788595
Male;66,854738;169,811034
Male;77,160801;195,988434
Male;68,198537;173,224285
Male;66,795793;169,661314
Male;74,070206;188,138324
Male;69,691743;177,017027
Male;70,482757;179,026204
Male;66,202964;168,155528
Male;71,857888;182,519035
Male;65,975207;167,577026
Male;72,676961;184,599481
Male;69,812022;177,322535
Male;69,043146;175,369591
Male;63,850678;162,180723
Male;64,909785;164,870855
Male;65,045444;165,215428
Male;68,874396;174,940966
Male;69,982219;177,754838
Male;62,709304;159,281631
Male;66,923437;169,985529
Male;67,269044;170,863372
Male;72,122526;183,191215
Male;69,611403;176,812964
Male;65,184701;165,569140
Male;74,080275;188,163898
Male;61,121829;155,249445
Male;68,321453;173,536490
Male;63,952928;162,440438
Male;68,581374;174,196689
Male;64,925909;164,911809
Male;69,659754;176,935774
Male;71,120753;180,646713
Male;62,804191;159,522644
Male;70,811262;179,860605
Male;69,549511;176,655757
Male;67,032346;170,262159
Male;67,396834;171,187959
Male;69,371843;176,204482
Male;74,545137;189,344648
Male;66,556525;169,053573
Male;67,259953;170,840280
Male;66,001968;167,644998
Male;67,283507;170,900109
Male;67,924634;172,528569
Male;66,057634;167,786390
Male;65,844580;167,245234
Male;69,031063;175,338900
Male;70,327116;178,630876
Male;66,534307;168,997139
Male;71,471675;181,538054
Male;70,046931;177,919204
Male;68,605711;174,258505
Male;68,982381;175,215247
Male;73,788885;187,423768
Male;69,072811;175,444939
Male;73,187949;185,897391
Male;68,677384;174,440556
Male;64,922336;164,902734
Male;66,111229;167,922522
Male;67,748990;172,082434
Male;71,813904;182,407315
Male;69,195441;175,756421
Male;67,407172;171,214216
Male;69,876633;177,486649
Male;64,366677;163,491359
Male;67,492854;171,431849
Male;73,122433;185,730980
Male;67,652945;171,838482
Male;68,537902;174,086271
Male;70,724758;179,640885
Male;68,230150;173,304582
Male;67,697123;171,950693
Male;73,716743;187,240527
Male;68,858457;174,900481
Male;66,473766;168,843366
Male;69,972281;177,729595
Male;67,556183;171,592705
Male;74,272019;188,650927
Male;72,093860;183,118404
Male;69,569780;176,707240
Male;71,614089;181,899787
Male;67,138550;170,531916
Male;68,415651;173,775754
Male;78,095867;198,363503
Male;68,642628;174,352274
Male;70,026842;177,868178
Male;74,325677;188,787220
Male;72,231636;183,468356
Male;67,666664;171,873327
Male;66,424187;168,717435
Male;65,071113;165,280628
Male;69,156982;175,658735
Male;67,805312;172,225492
Male;68,238745;173,326413
Male;72,548852;184,274084
Male;74,056427;188,103324
Male;73,236788;186,021442
Male;72,837685;185,007720
Male;68,269820;173,405343
Male;70,071819;177,982421
Male;71,738695;182,216285
Male;68,673960;174,431858
Male;70,182139;178,262634
Male;66,946614;170,044400
Male;67,675989;171,897011
Male;67,903573;172,475076
Male;67,199432;170,686558
Male;66,997862;170,174569
Male;66,029709;167,715460
Male;67,814286;172,248286
Male;71,447652;181,477035
Male;70,079323;178,001481
Male;73,721613;187,252898
Male;66,388007;168,625537
Male;68,196088;173,218063
Male;68,275360;173,419414
Male;65,939647;167,486704
Male;66,871878;169,854570
Male;66,198009;168,142943
Male;73,303010;186,189646
Male;69,285036;175,983992
Male;71,769762;182,295195
Male;63,639483;161,644286
Male;72,161545;183,290324
Male;72,003280;182,888332
Male;68,165837;173,141226
Male;69,084897;175,475638
Male;67,188451;170,658664
Male;63,615019;161,582148
Male;71,720612;182,170353
Male;70,475126;179,006820
Male;72,867587;185,083672
Male;68,162844;173,133623
Male;69,679150;176,985040
Male;63,000047;160,020121
Male;71,758125;182,265638
Male;71,629678;181,939383
Male;71,064105;180,502828
Male;70,115144;178,092467
Male;70,448874;178,940141
Male;68,541467;174,095327
Male;71,333921;181,188159
Male;67,180939;170,639584
Male;73,106344;185,690114
Male;70,887487;180,054216
Male;71,910226;182,651974
Male;73,569298;186,866016
Male;69,801575;177,296001
Male;70,627870;179,394789
Male;66,314577;168,439025
Male;70,269360;178,484174
Male;70,978703;180,285905
Male;70,315066;178,600269
Male;71,513701;181,644799
Male;70,998546;180,336307
Male;66,695309;169,406085
Male;72,659000;184,553859
Male;66,510043;168,935509
Male;66,578235;169,108716
Male;66,724680;169,480688
Male;69,295546;176,010688
Male;68,322982;173,540375
Male;65,797953;167,126801
